unit	c_sources	status	crate	bench_ratio	notes
backend-access-nbtree-nbtsort	src/backend/access/nbtree/nbtsort.c	ported	nbtsort	cold(per-CREATE-INDEX)	fabled:backend-access-nbtree-nbtsort; 2026-07-03 create-index session: serial btbuild LIVE over tuplesort index lane (spool/putindextuplevalues/getindextuple) + _bt_load/_bt_buildadd/_bt_sortaddtup/_bt_slideleft/_bt_uppershutdown/_bt_pagestate; WAL via bulkwrite log_newpages (C parity); LOUD: parallel build, spool2 merge (dead tuples under UNIQUE), BTGetDeduplicateItems reloption (default-true until reloptions land); 2026-07-04 build-dedup lane: _bt_load posting-list dedup LIVE (pending-posting accumulation via types_nbtree BTDedupState sort_finish_pending, _bt_buildadd truncextra/btps_lastextra, allequalimage && !isunique && BTGetDeduplicateItems gate, maxpostingsize 812, base copy in retained ItupBuf vs C's per-group CopyIndexTuple/pfree) — dup-heavy builds byte-identical vs C incl. the selres repro (selexpr composite 6 pages, was 14); e2e scripts/btree-build-dedup-e2e.sh (4 indexes byte-identical lsn-masked, WAL histograms identical, relpages parity, amcheck heapallindexed PASS) + scripts/create-index-e2e.sh 4 indexes/100k rows amcheck PASS under C 18 | train2: fabled:backend-access-nbtree-nbtsort; 2026-07-03 create-index session: serial btbuild LIVE over tuplesort index lane (spool/putindextuplevalues/getindextuple) + _bt_load/_bt_buildadd/_bt_sortaddtup/_bt_slideleft/_bt_uppershutdown/_bt_pagestate; WAL via bulkwrite log_newpages (C parity); LOUD: parallel build, spool2 merge (dead tuples under UNIQUE), dedup posting lists (DIVERGENCE: plain tuples where C builds posting lists on dup keys — valid btree, amcheck-clean, not byte-identical); e2e scripts/create-index-e2e.sh 4 indexes/100k rows, amcheck PASS under C 18.3; 2026-07-05 sweep-smalls-3: +btbuildempty (INIT_FORKNUM metapage via bulk-write)
backend-access-small-core	src/backend/access/sequence/sequence.c,src/backend/access/table/tableamapi.c	todo			
backend-access-index-amvalidate	src/backend/access/index/amvalidate.c	ported	index_amvalidate		fabled:backend-access-index-amvalidate; operator-lane 2026-07-03: identify_opfamily_groups (ordered-list merge), check_amproc/amop/amoptsproc signatures (IsBinaryCoercible arm live), opclass_for_family_datatype, opfamily_can_sort_type
backend-access-index-amapi	src/backend/access/index/amapi.c	ported	amapi	cold	fabled:backend-access-index-amapi; m1-dep(stub-ok); GetIndexAmRoutine = closed-set dispatch (fn-pointer doctrine): bthandler 330 -> types_relscan IndexAmKind::Btree, non-builtin handler loud panic (needs pg_proc + extension loading); GetIndexAmRoutineByAmId real AMOID probe (amtype/amhandler checks, C-exact 55000 messages, noerror arms); IndexAmTranslateStrategy/CompareType btree shortcut + bttranslate semantics, non-btree AM arm loud; amvalidate loud (DDL opclass lane); cmptype.h COMPARE_* moved to types_pathnodes (single home; lsyscache re-exports, its wider builtin-AM translate tables kept - rerouting them through IndexAmKind would panic on hash/gist); cold: relcache index-info build + DDL consumers, no per-tuple entry; 6 tests, density 1.9%; 2026-07-04 vacuumparallel lane: amparallelvacuumoptions/amusemaintenanceworkmem per-AM tables (vacuum.h VACUUM_OPTION_* consts) added, values verified vs each AM handler
backend-access-spg-doinsert	src/backend/access/spgist/spgdoinsert.c	ported	spgist		cold for M1 spine (no spgist op in milestone workloads); twin-cluster e2e gold gates: index-file byte parity vs C over 100k text_ops strings (536/536 pages, lsn-masked), scans+EXPLAIN byte-identical vs live C, WAL 3 directions, C boots+inserts through our index, regress-diff ZERO; audit notes/audits/spgist.md PASS	fabled:backend-access-spgist-core
backend-access-spg-kdtree	src/backend/access/spgist/spgkdtreeproc.c	ported	spgist_kdtree	cold(opclass callbacks at index build/scan)	fabled:backend-access-spg-kdtree; 2026-07-04 idxam-spg-sub: spgkdtreeproc.c complete (config/choose/picksplit/inner_consistent, oids 4023-4026; leaf slot borrows quad 4022 via pg_amproc as in C); picksplit stable-sort vs C qsort — identical mapping when median coords unique (e2e uses unique coords); allTheSame panics as C elogs; KNN legs behind loud norderbys gate
backend-access-spg-proc	src/backend/access/spgist/spgproc.c	ported	spgist_proc	cold(KNN distance helpers; no live callers until the ordered-scan lane)	fabled:backend-access-spg-proc; 2026-07-04 idxam-spg-sub: point_box_distance + spg_key_orderbys_distances ported+unit-tested; box_copy is BOX:Copy; callers arrive with the KNN lane (scan.rs norderbys>0 loud)
backend-access-spg-quadtree	src/backend/access/spgist/spgquadtreeproc.c	ported	spgist_quadtree	cold(opclass callbacks at index build/scan; resolved-once FmgrInfo carriers, no per-row seam)	fabled:backend-access-spg-quadtree; 2026-07-04 idxam-spg-sub: spgquadtreeproc.c complete (config/choose/picksplit/inner+leaf_consistent, oids 4018-4022); KNN/orderby legs structurally absent behind the scan core loud norderbys gate; restDatum/leafTupleDatums/leafValue are C pointer passthroughs; spgist-point-e2e.sh GOLD fleet pgrust-fast-tests-6fdde16876-1783186566 @6fdde1687: quad 637 + kd 853 pages byte-identical (lsn-masked), EXPLAIN/results byte-compared vs C same-datadir, WAL both directions, crash smoke, regress-diff 630 lines PASS; create_index_spgist movement 149/202 -> 185/202 queries (diff lines 754 -> 207) vs main baseline pgrust-fast-tests-1b4bd37fe5-1783186799
backend-access-spg-scan	src/backend/access/spgist/spgscan.c	ported	spgist		ordered/KNN scans LOUD; gettuple+getbitmap+IOS live; NAMED DIVERGENCE (geo-spgist lane 2026-07-05): SP-GiST/GiST KNN ORDER BY <-> pushdown unported - planner falls back to explicit Sort; EXPLAIN-only diffs, results match (box.out @594/@617 + 1 polygon query); full lane = planner match_pathkeys_to_index + selfuncs orderby costing + executor recheckDistances reorder queue + scan-core distance queue (AM-wide, shared with gist)	fabled:backend-access-spgist-core
backend-access-spg-text	src/backend/access/spgist/spgtextproc.c	ported	spgist_text		text_ops radix opclass; builtins 4027-4031 + spghandler 334 guard	
backend-access-spg-utils	src/backend/access/spgist/spgutils.c	ported	spgist		rd_amcache_spgist cache live; spgoptions (fillfactor reloption parse) + spgproperty are follow-up lanes; tuple codecs in types_spgist; geo-spgist lane 2026-07-05: getSpGistTupleDesc compress-opclass copy arm live (spgutils.c:315-341, leafType != column type; poly_ops), mcx threaded through initSpGistState/spginsert	fabled:backend-access-spgist-core
backend-access-spg-vacuum	-	combined-into:backend-access-spgist-core			fabled:backend-access-spgist-core
backend-access-spg-validate	src/backend/access/spgist/spgvalidate.c	ported	spgist_validate	cold(amvalidate/DDL-time only)	2026-07-04 idxam-spg-sub: spgvalidate + spgadjustmembers wired into amapi amvalidate/am_adjust_members (Spgist arm); config proc invoked via fmgr_info+LocalFcinfo<2> (C OidFunctionCall2); PgOpclassShape grew opckeytype (pg_opclass anum 9); INFO messages byte-shaped per C; amvalidate probe (quad/kd/text opclasses) byte-compared vs C in spgist-point-e2e.sh; fleet pgrust-fast-tests-6fdde16876-1783186566 PASS
backend-access-spg-xlog	src/backend/access/spgist/spgxlog.c	ported	spgist_xlog		all 8 redo arms live (incl vacuum records); spg_mask LOUD (bufmask lane); spgdesc in rmgrdesc	fabled:backend-access-spgist-core
backend-access-spgist-core	src/backend/access/spgist/spgvacuum.c,src/backend/access/spgist/spginsert.c	ported	spgist		spginsert.c live (spginsert in spgist, spgbuild in spgist_build); spgvacuum.c LOUD lanes (spgbulkdelete/spgvacuumcleanup; vacuum redo live)	2026-07-05 sweep-smalls-3: +spgbuildempty in spgist_build (meta/root/nulls INIT_FORKNUM via bulk-write)
backend-access-spgist-entry	-	combined-into:backend-access-spgist-core			fabled:backend-access-spgist-core
backend-access-spgist-insert	-	combined-into:backend-access-spgist-core			fabled:backend-access-spgist-core
backend-access-table-table	src/backend/access/table/table.c	ported	table	m2-point-gate: composed point 1.362x-instr/1.016x-ns, fullscan 1.353x/1.164x (seqscan slope CONFIRMED +~68/row extra in agg composition), orderby 1.192x/1.133x - ALL FAIL (job 1783063739 @ 5d9dd99; docs/benchmarks/m2-point-gate.md)	fabled:crates/backend/access/table/table (uncataloged in fabled - gap reconciled); m1-spine slot 22; per-open not per-tuple; table_close = RAII relation.close (fabled by-OID close workaround deleted); seams: relation.c owners + pg_class errdetail; 8 tests, density 0.9%; cold-audit 2026-07-02: retag m2-point-gate (table_open/close per statement on M2)
backend-access-tableam	src/backend/access/table/tableam.c	ported	tableam	m2-point-gate: composed point 1.362x-instr/1.016x-ns, fullscan 1.353x/1.164x (seqscan slope CONFIRMED +~68/row extra in agg composition), orderby 1.192x/1.133x - ALL FAIL (job 1783063739 @ 5d9dd99; docs/benchmarks/m2-point-gate.md)	fabled:backend-access-table-tableam; m1-spine; TableAm enum replaces the 45-fn vtable - asm-proven zero blr in every table_* wrapper; rs_am carrier resolve-once at scan_begin; vocab hoisted to tableam_vocab (re-exported); read-lane heap arms bound direct to heapam/heapam_handler, TableScanDesc = tagless single-variant enum over HeapScanDescData; per-tuple entries bench with heapam-core; 2026-07-02 tableam_seams crate added (table_relation_vacuum decl; vacuumlazy installs); 8 tests, density 4.9%; 2026-07-02 table_relation_estimate_size added (heap estimate via bufmgr nblocks seam; density fallback closure from plancat - direct dep would cycle); cold-audit 2026-07-02: retag m2-point-gate (per-tuple wrappers, asm-proven zero blr; scan arm measured in read-composition; gate owns composed number); 2026-07-02 (session four-rocks): table_block_relation_size LIVE (RelationGetSmgr handle + smgrnblocks_h, C i<MAX_FORKNUM fork-sum bug-compat), relation_locator/relation_nblocks flipped (bufmgr relation_smgr_locator / relation_get_number_of_blocks_in_fork); 2026-07-02 tuple_update/tuple_delete live over heap_update/heap_delete (heapam_tuple_update slot round-trip); 2026-07-04 b4 lane: table_relation_copy_data + heap relation_copy_data (heapam_handler.c heapam_relation_copy_data: flush, RelationCreateStorage, fork loop w/ log_smgrcreate, RelationDropStorage)
backend-access-tablesample-core	src/backend/access/tablesample/bernoulli.c,src/backend/access/tablesample/system.c,src/backend/access/tablesample/tablesample.c	ported	tablesample	cold(per-scan setup + per-block/tuple hash; TABLESAMPLE off the M-spine)	fabled:backend-access-tablesample-core; 2026-07-04 tablesample lane: bernoulli.c/system.c/tablesample.c as closed Tsm enum (handlers 3313/3314 vs pg_proc.dat, TSM_HANDLEROID 3310, extension TSMs loud in Tsm::get); BernoulliSampler/SystemSampler C-exact (hash_bytes over native-endian u32 words, cutoff rint((2^32)*pct/100), 2202H shape); SampleScanDriver impl for tableam; sample-size estimation via estimate_expression_value w/ local clamp_row_est (tableam precedent); 2026-07-19 tsm-registry lane: closed enum -> dispatch registry (SystemRows/SystemTime extension arms resolved by pg_proc.prosrc symbol, the amapi resolve_extension_handler precedent); Tsm::get(mcx,oid)->PgResult at all 4 call sites (parse_clause/allpaths/costsize/nodesamplescan), unknown handler = C GetTsmRoutine 'did not return a TsmRoutine struct' error (panic site removed); per-arm parameter_types/repeatable flags/samplesize; SampleScanDriver + table_scan_sample_* thread donetuples; allpaths gains C's Material wrap for non-repeatable-across-scans TSMs
backend-access-transam-clog	src/backend/access/transam/clog.c	ported	clog	cold	m1-spine; group-commit machinery real (CAS enqueue, leader walk, multi-thread tested); SimpleLruReadPage_ReadOnly first consumer - clog bench now actionable; 9 tests, 4.1%; Graviton quantified (job 1783030298): getstatus 1.37x instr/1.03x ns, settree 2.30x/1.18x - both sides ldadda-latency-bound; FAIL levers itemized in docs/benchmarks/clog.md (outlined LWLock+fat frames, per-op seam calls, OnceLock re-derefs) for a future optimize pass; cold unit so quantifies not gates
backend-access-transam-commit-ts	src/backend/access/transam/commit_ts.c	ported	commit_ts	cold-rationale(no crate bench): off by default (track_commit_timestamp=off) and per-commit write path is guarded by one shared bool; M4 gate owns the on-path number	fabled:backend-access-transam-commit-ts; commit-ts lane 2026-07-04: full commit_ts.c; SLRU 'commit_timestamp'/pg_commit_ts over slru crate (bank LwGuards, PagePrecedes offset-unit tests), CommitTimestampShared = OnceLock atomics (xidLastCommit cache + commitTsActive) under CommitTsLock main lwlock 39; TransactionTreeSetCommitTsData page-grouped writes + newestCommitTsXid advance; TransactionIdGetCommitTsData (cached-hit, range screen vs TransamVariables oldest/newest, SLRU read; 22023 invalid-xid, 55000 'could not get commit timestamp data' + recovery-aware hint C-exact); GetLatestCommitTsData; Activate/DeactivateCommitTs (bootstrap skip, latest_page_number reseed, seed oldest/newest=nextXid, segment create, DeleteAll on deactivate), StartupCommitTs/CompleteCommitTsInitialization/CommitTsParameterChange, CheckPointCommitTs, ExtendCommitTs (commitTsActive cheap-out first, C shape), TruncateCommitTs+WriteTruncateXlogRec (xl_commit_ts_truncate 12B), SetCommitTsLimit/AdvanceOldestCommitTsXid; commit_ts_redo ZEROPAGE/TRUNCATE in rmgr table (direct dep, unported_redo arm removed); committssyncfiletag live in sync.c syncsw; track_commit_timestamp GUC backing installed here (commit_timestamp_buffers backing pre-existing in init_small, check hook installed); SQL builtins 3581 pg_xact_commit_timestamp / 3583 pg_last_committed_xact / 6168 pg_xact_commit_timestamp_origin via register_late_builtins (twophase 1065 precedent), composite returns via get_call_result_type; WIRED: all 7 commit_ts_seams decls installed (set_commit_ts_limit decl fixed to PgResult, commit_ts_parameter_change NEW), seams_init line, ipci size+init+crash-reset after clog (C order), vacuum vac_truncate_clog AdvanceOldestCommitTsXid+TruncateCommitTs real (LOUD removed), xlog_redo XLOG_PARAMETER_CHANGE guarded seam call replaces panic, CreateCheckPoint reads oldest/newestCommitTsXid from TransamVariables under CommitTsLock (was control-file carry-forward); 4 tests (constants/codec, disabled arms + error texts incl hint flavors, activation state machine + set/get + limits, extend WAL records); density 4.3%
backend-access-transam-generic-xlog	src/backend/access/transam/generic_xlog.c	ported	generic_xlog	cold	fabled:backend-access-transam-generic-xlog; m1-dep(stub-ok); LIVE: GenericXLogStart/RegisterBuffer/Finish/Abort (delta codec byte-exact: MATCH_THRESHOLD=4, OffsetNumber fragment headers, lower/upper regions, invalid-region arms; full-image vs delta = caller GENERIC_XLOG_FULL_IMAGE flag as C), generic_redo (applyPageRedo + hole zero + PageSetLSN) registered in rmgr Generic row (direct dep, unported panics retired); record assembly via one-call xloginsert_seams::xlog_insert_record (C Begin/Register protocol collapsed, same as AM write paths); state = PgBox<GenericXLogState> in caller mcx (C palloc_aligned/pfree; repr(align(4096)) images); generic_mask = loud panic (bufmask.c unported repo-wide, wal_consistency_checking pinned off) — land with backend-access-common-small; generic_identify/desc already in rmgrdesc (verified, not duplicated); no in-core consumers (future contrib AMs); tests: hand-derived fragment vectors + threshold/invalid arms + delta roundtrip (6 unit) + tests/wal_roundtrip.rs e2e (real xloginsert/transam_xlog WAL off disk via real xlogreader: delta block replays byte-exact onto pristine page, FULL_IMAGE block restores byte-exact, xlogstats buckets the record); cold: contrib-AM write path + recovery only — fleet job pgrust-fast-tests-cf03bdd726-1783186757 @ cf03bdd726 PASS
backend-access-transam-multixact	src/backend/access/transam/multixact.c	ported	multixact	cold(GetMultiXactIdMembers only when xmax IS_MULTI; never on read-only M1-M3)	fabled:backend-access-transam-multixact; m1-spine; cold for M1-M3: create/expand/members reached only from tuple-lock sharing (heapam lock lane, M5) - rationale not bench; read seam is heapam_visibility's multi_xact_id_is_running (benched there); both SLRUs (pg_multixact/offsets+members) on the committed slru substrate, clog shapes (OnceLock SlruCtlData, LwGuard bank locks with covers()-gated swaps on offset/member page walks); MultiXactStateData = OnceLock atomics struct (varsup precedent), perBackendXactIds as leaked AtomicU32 slice (procarray precedent), MultiXactGenLock/TruncationLock = main lwlocks 13/41; mXactCache port REQUIREMENT met: 256-entry recency list, sorted-member dedup by set + by id, slot-reuse with retained member-vec capacity across AtEOXact resets (C frees MXactContext per xact; no per-xact leak), test probe counters; GetNewMultiXactId real incl wraparound arms: vac/warn/stop limits, members offsetStopLimit wrap checks, autovac signals via direct pmsignal dep, datnames via dbcommands_seams, crit section via globals, every Err exit releases MultiXactGenLock (C longjmp cleanup equivalent); GetMultiXactIdMembers = callback seam shape (retained TLS member scratch, loud panic on re-entry), corner cases 1+2 C-exact; MultiXactIdIsRunning/SetOldestMember/SetOldestVisible/Create/Expand/GetUpdateXid real (Expand via procarray_seams+transam_seams did_commit - COLLAPSE transam_seams TO DIRECT DEP, transam ported but its tree was mid-churn this session); Startup/Trim/CheckPoint/SetNextMXact/AdvanceNext/AdvanceOldest/GetCheckptMulti/SetMultiXactIdLimit/SetOffsetVacuumLimit/find_multixact_start/BootStrap/MaybeExtendOffsetSlru real; multixact_redo real all 4 arms incl TRUNCATE replay + pre_initialized_offsets_page hack; installs all 14 multixact_seams decls + check_multixact_*_buffers guc hooks; WIRED: seams_init line, rmgr RM_MULTIXACT slot live, sync syncsw offset/member filetag arms live, ipci ShmemSize+Init in C order after SUBTRANS (removed from ipci OMITTED list); LOUD: TruncateMultiXact (vacuum lane vac_truncate_clog; needs delay-chkpt), AtPrepare/PostPrepare valid-oldest-member arm (twophase unported; invalid arm real so PREPARE without multis works); slru gained latest_page_number() getter (RecordNewMultiXact recovery hack); 9 tests incl datadir-shaped pg_multixact fixture (segments pre-seeded on disk, boot order set_next/set_limit/startup/trim then members read back exact), 3-member roundtrip vs WAL record bytes, IsRunning vs fake procarray + current-xid fastpath, cache-hit-on-recreate probe counter + nextMXact unchanged, offsets page boundary (2047->2048) + members page boundary (1636+64 members) crossings, checkpoint flush to segment files; density 4.1%
